Year,Month,Day,Time.Start,Time.End,Hour,Minutes,Duration_min,Day_Duration
2018,2,14,10:00,14:20,4,20,260,260
2018,2,15,13:20,17:50,4,30,270,270
2018,2,18,9:40,13:00,3,20,200,290
2018,2,18,14:30,16:00,1,30,90,290
2018,2,19,9:40,12:15,2,35,155,300
2018,2,19,14:30,16:55,2,25,145,300
2018,2,20,15:00,17:45,2,45,165,165
2018,2,22,10:10,11:40,1,30,90,120
2018,2,22,13:50,14:20,0,30,30,120
2018,2,23,15:45,19:00,3,15,195,195
2018,2,25,11:30,14:00,2,30,150,270
2018,2,25,16:00,18:00,2,0,120,270
2018,2,26,13:30,15:30,2,0,120,360
2018,2,26,15:30,19:30,4,0,240,360
2018,2,27,10:15,12:45,2,30,150,210
2018,2,27,16:30,17:30,1,0,60,210
2018,2,28,10:45,13:45,3,0,180,315
2018,2,28,15:35,17:50,2,15,135,315
2018,3,1,10:00,12:10,2,10,130,250
2018,3,1,15:00,17:00,2,0,120,250
2018,3,2,10:15,13:15,3,0,180,300
2018,3,2,14:45,16:45,2,0,120,300
2018,3,3,10:15,12:30,2,15,135,180
2018,3,3,13:15,14:00,0,45,45,180
2018,3,4,14:40,17:10,2,30,150,150
2018,3,5,10:30,17:30,7,0,420,420
2018,3,6,10:45,14:20,3,35,215,215
2018,3,8,9:45,12:00,2,15,135,300
2018,3,8,14:00,16:45,2,45,165,300
2018,3,9,10:00,15:50,5,50,350,350
2018,3,11,11:45,13:15,1,30,90,200
2018,3,11,16:10,18:00,1,50,110,200
2018,3,12,9:35,14:35,5,0,300,300
2018,3,14,15:10,17:30,2,20,140,140
2018,3,16,10:30,12:00,1,30,90,180
2018,3,16,13:50,15:20,1,30,90,180
2018,3,17,10:00,13:00,3,0,180,180
2018,3,18,11:10,14:10,3,0,180,280
2018,3,18,14:00,15:40,1,40,100,280
2018,3,19,9:50,11:30,1,40,100,100
2018,3,26,10:40,12:40,2,0,120,255
2018,3,26,13:45,16:00,2,15,135,255
